Language,Japanese,Commentary
badge,バッジ,バッジ. 記章. 袖章. 2. BADGE (base air defense ground environment)半自動防空警戒管制組織
badly,ひどく,ひどく. 悪く
bagel,ベーグル,ベーグル. ドーナツ型の堅いロールパン
baggy,だぶだぶの,だぶだぶの. (baggie食料保存袋. buggyバギー)
bairn,子供,"
(スコットランド,北イングランド)子供. 赤ん坊"
baked,焼いた,焼いた
baker,ベイカー,パン屋. 携帯用小型天火
balky,期待通りに動作しない,(馬が)急に止まる癖のある. (人など)がんこな. 強情な
bally,バリー,(UK英)ひどい
balmy,さわやかな,さわやかな. 芳香の. 香りの良い. 快い
Bambi,バンビ,バンビ. ウォルト･ディズニー･カンパニーが1942年公開したアメリカ映画
banal,陳腐な,平凡な. 陳腐な. 凡庸な
bandy,バンディ,投げ合う
banjo,バンジョー,バンジョー(弦楽器)
Barak,バラク,バラク(人名). (Barack Obama大統領は別綴り)
barge,はしけ,遊覧船. 荷船. はしけ
baron,男爵,男爵. 財界人. 大実力者. ～王
basal,基本的な,基底の. 基礎的な. 根元から出ている
Basel,バーゼル,バーゼル. スイスの地名. ライン川のドイツとフランスとスイスの3国の国境が接する地点にあり. 大型船舶が通航できる最も上流の港を持つ
basic,基礎的な,基礎的な
Basil,バジル,"聖バシリウス(4世紀,ローマカトリック教会を異教から守った小アジアの司教の名). 2. バジル,バジリコ(シソ科の植物) "
basin,洗面台,洗面台. たらい. 洗面器
basis,基礎,基礎. 主成分. 土台. 原理
batch,バッチ,一揃い. (電算)バッチ(一度に処理するデータの束). 一群. (手紙の)一束. (パンなどの)一焼き(分). 一回分(のもの). 一団
bathe,入浴,水浴させる. 入浴する
baths,風呂,風呂
batik,ろうけつ染め,ろうけつ染め
baton,バトン,バトン. 警棒. (Baton Twirlingバトントワリング). (cf. button. ボタン)
batty,狂人,頭の変な
bawdy,下品な,みだらな. わいせつな. 下品な. 艶笑の
Bayer,バイエル,ドイツの製薬会社名. (ピアノの教本バイエルはBeyer)
bayou,バイユー,(米国南部の)沼のような入江
beach,ビーチ,(海･湖･河川の)浜辺
beady,ビーズのようにキラキラ輝く小さな丸い,ビーズのような
beard,髭,(通常pl. beards). あごひげ. ふさ毛
Beary,ベアリー,ベアリー. 熊のぬいぐるみの名前
beast,獣,けだもの. 獣. 畜生. 動物. 牛馬. 家畜. 獣のようなやつ. 人でなし
beaut,素晴らしいもの,美人(俗)
bebop,ビバップ,ビバップジャズ. 1940年代のモダンジャズの一形式
beech,ブナ材,ブナ(材)
beefy,筋骨たくましい,肥満した. たくましい
beery,ビアリー,ビールの. ビール好きの. ビール臭い
befit,ふさわしい,に適する. ふさわしい. 似合う
beget,生じさせる,こしらえる. 生じさせる. きたす
begin,ベギン,始まる. 始める
beige,ベージュ,ベージュ
being,であること,生き物. 存在. 実在. 生存. 生命
belay,やめる,ザイル等で留める. 索止めなどに巻きつける.  “Belay that!” he roared. 「やめろ」と彼はどなった
belch,げっぷ,げっぷする. (火･煙を)噴出する. 吐き出す
belie,裏切る,正しく伝えない. 裏切る
belle,ベル,舞踏会の花. 美人
belly,腹,腹. 食欲. 胃. 腹部. ふくらます.
below,以下,の下に
bench,ベンチ,ベンチ. 法廷. 裁判官
Benin,ベニン,ベナン共和国 Republic of Benin
beret,ベレー帽,ベレー帽
berry,ベリー,"ストロベリー,ブルーベリー,ラズベリー,ブラックベリー,クランベリーなど多肉質の小果実の総称"
berth,バース,停泊所. 寝台. 段ベッド. 宿. 停泊位置
beset,取り巻く,包囲する. 取り巻く
Betsy,ベッツィ,ベッツィ(人名)
Betty,ベティ,ベティ(人名)
Beyer,バイエル音楽教本,バイエル音楽教本. (製薬会社はBayer)
bible,バイブル,聖書
bidet,ビデ,(仏語)子馬. 婦人用洗浄器. ヴィデ
bight,湾曲部,海岸の湾曲部. 湾
bigot,頑固者,頑固者. (人種･宗教などに)偏見を持つ人. 偽善者
biker,バイクに乗る人,バイクに乗る人
bilge,ビルジ,船底の湾曲部. ばかげた談話
Billy,ビリー,ビリー(人名). 警棒(俗)
bimbo,ふしだらな女,(見かけはいいが)頭の弱い･身持ちの悪い女. オシャレと男性にのみしか関心がない女性
binge,どんちゃん騒ぎ,ばか騒ぎ. どんちゃん騒ぎ(spree). 過剰な飲食
bingo,ビンゴ,当たり. ビンゴ
birch,カバノキ,バーチ(家具用材). カバの木
birth,誕生,出産. 起源
bison,バイソン,バイソン. アメリカ野牛. (cf. buffalo)
bitch,雌犬,雌犬. (卑語)淫乱な女. 意地悪で不愉快で身勝手な女. 不平･不満を言う
bitty,ちっぽけな,ちょっとだけ
Bizet,ビゼー,ジョルジュ･ビゼー. Georges Bizet. 1838年生. 19世紀フランスの作曲家. 歌劇「カルメン」「アルルの女」で知られる
black,黒,黒い
blade,ブレード,刃. (俗)ナイフ. (blade は刃の全部をさす. edgeは刀先). 羽根. タービン翼. (草の)葉. (cf. foliage. leaf. needle. blade. frond)
Blair,ブレア,Tony Blair. トニー･ブレア. 1997年-2007年労働党党首として英国首相
blame,非難,を非難する. のせいにする. 非難. 責任
blanc,ブラン,(仏語)ブラン. 白い
bland,当たり障りのない,人当たりがよい. 穏やかな. 当たり障りのない. (cf. brand)
blank,ブランク,白紙の. 空虚な. 白紙. 無表情な
blare,大声で叫ぶ,鳴り響く. 耳障りな響き
blase,気ままな,歓楽に飽きた. 無関心な. 世慣れた
blast,爆発,爆発(させる). スリル. 楽しい時間. 突風. 非難(する). 台なしにする. 枯らす. explosion
blaze,炎,輝く. 炎. 火炎. 灼熱. 火災
bleah,あかんべー,あかんべー
bleak,荒涼とした,荒涼とした. 厳しい. 寒々とした. 冷たい. わびしい
bleat,悲しそうな声を出す,"山羊,羊の鳴き声. メエメエ"
bleed,出血,重傷を負う. 出血する. 流れ出る. 心痛する. 泣きだす
bleep,ピー,ピーという音
blend,ブレンド,混ぜ合わせる. 混ざる. 混合
bless,祝福する,を神聖にする. 感謝する. 祝福する. 恩恵を与える. 清める. 恵む. 賛美する. 十字を切る. 祈る
blimp,飛行船,小型飛行船.  2. でぶ. ブタ. 3. 頭の固い保守的な人
blind,ブラインド,盲目の. 無感覚の. 行き場のない. 理解できない. 見えなくする. 日除け. ブラインド
blink,点滅する,まばたきする. きらめき. まばたき
bliss,至福,この上ない喜び. 至福(を味わう). 幸福. 天国
blitz,ブリッツ,電撃戦. 電撃的猛攻撃
bloat,膨張,ふくれさせる. ふくれる. 慢心する
block,ブロック,"塊. かたまり. ブロック(都市で四辺を道路で囲まれた一区画). 阻止(する). (cf. block. 区画,阻止する. brock. アナグマ)"
bloke,やつ,奴
blond,ブロンド,ブロンドの. 金髪の
blood,血,血. 血筋. 家柄
bloom,ブルーム,開花させる. 栄える. 花が咲く. 若さ. 美人. 花盛り. 開花. 花
blown,ブローン,吹いた
blues,ブルース,"ブルース(Blues). 米国南部で発生した音楽. 語源はblue(憂鬱な. 本来の発音はblú:z). 19C後半に黒人霊歌,フィールドハラー(field-holler,黒人の労働歌)などから発展した"
bluff,ブラフ,威嚇(する). ぶっきらぼうな. 荒っぽい. 率直な. 険しい
blunt,ブラント,鈍い. 無遠慮な. 無愛想な. 鈍くする
blurb,推薦文,(新刊書のカバーなどに印刷する出版社の)推薦広告. 誇大宣伝. 推薦広告をする
blurt,口走る,口を滑らす. うっかり口に出す
blush,赤面,赤面. 恥じらい. 紅潮させる. 恥じる. 顔を赤らめる. 赤面する
board,ボード,役員会. 議会のテーブル. 理事会. 取締役会. 株式取引所. 食卓. 板. 舞台. 厚紙. ボール紙. 台紙
boast,自慢,自慢する
Bobby,ボビー,ボビー(人名)　2. 巡査
bogey,ボギー,ボギー(ゴルフ用語). 2. 悪霊. お化け
boggy,沼地の,沼地の. (cf. bogie. ゴルフ用語)
bogie,ボギー,"ボギー(ゴルフ用語) (boggy,沼地は別語)"
bogle,ボーグル,幽霊. おばけ. こわいもの. かかし
bogus,偽の,偽の. いんちきの. にせものの. 偽りの
bolus,ボーラス,大きい丸薬(動物用)
bongo,ボンゴ,ボンゴ(大小2つの片面太鼓をつなぎ合わせた打楽器. bongo drum)
bonny,ボニー,かわいい. 健康そうな
bonus,ボーナス,ボーナス. 特別配当金. 思いがけない贈り物
booby,ブービー,田舎者. まぬけ(pl. boobies. ぱいぱい)
books,図書,図書
Boone,ブーン,ブーン (人名)
boost,ブースト,を押しあげる. 上げる. 強化する. 後援する. 値上げ. 後援. 尻押し. 景気づけ. increase
booth,ブース,(pl. booths). 屋台店. 模擬店. 小さく仕切った部屋. 電話ボックス. ボックス席. (B-)人名
booty,戦利品,盗品. 戦利品. 略奪品
booze,酒,(俗)酒. 酒盛り
boozy,大酒飲みの,酔っぱらって. 大酒を飲む. 大酒飲みの
bored,うんざりした,(人が)退屈している
borer,ボーラー,穴あけ機. 穴をあける人(器具). きり. たがね. 木や果実に穴をあける虫. 穿孔(性)動物. (cf. bowler)
bosom,胸,胸. 内部. 胸部. 胸中. 胸裏ふところ.
bossy,親分風をふかせる,親分風をふかせる. いばりちらす
botch,やり損なう,やり損なう
botox,ボトックス,ボトックス(神経毒の名称)
bough,枝,大枝. 主枝. (branch幹(trunk)から出る枝. bough大枝. twig小枝. spray葉や花がついた小枝)
bound,バウンド,縛られた. ～する義務がある. はずむ. 躍動する. 境界. 限度. 範囲
bowel,腸,腸. 内臓
bower,亭,木陰. 亭. あずまや. 婦人の私室
boxed,箱入りの,箱入りの
boxer,ボクサー,ボクサー犬. ボクサー
brace,ブレース,突っ張り. 支柱. 引き締める. 支える. 元気を出す. 元気づける
Brady,ブレーディー,ブレーディー(人名)
braid,組ひも,組ひも. さなだひも. 飾りモール. 三つ編み(の髪). 編んだ髪. おさげ(ひもや髪を)編む
brain,脳,脳. 中枢部. 頭脳
brake,ブレーキ,ブレーキ. 歯止め. 制動機. 2. (植物)シダ. ワラビ
brand,ブランド,汚名を着せる. 商標. 焼印を押す. (cf. bland)
brash,性急な,せっかちな. 見下した. 怒りっぽい. 軽率な. 生意気な
brass,真鍮,真ちゅう. 真鍮(色･製品)(の). 黄銅. ずうずうしさ. お偉方. 大物
brave,勇敢な,勇ましい. 勇敢な. 派手な. 勇士
bravo,ブラボー,喝采のの言葉. ブラボー!
brawl,乱闘,乱闘. 喧嘩. 騒ぎ. 口論する. どなりたてる. (衆目の中での)騒々しいけんか･口論
bread,パン,パン
break,ブレーク,損なう
bream,ブリーム,ブリーム(ヨーロッパ産のコイ科の淡水魚. うろこは模造真珠の塗料になる). 2. タイ科の海産魚
breed,繁殖,(動物が子を)産む. (鳥が卵を)かえす. (人を)養育する(up)
brent,ブレント,"Brent Crudeブレント原油. 主にイギリスの北海のブレント(Brent,岩層区分の名)油田から採鉱される. 原油の混合(ブレンド blend)ではない"
Brian,ブライアン,ブライアン(人名)
briar,ブライヤー,いばら
bribe,賄賂,に賄賂を贈る. わいろ. 賄賂
brick,れんが,れんがを敷く. れんが
bride,花嫁,花嫁. 新婦
brief,短い,要点を伝える. 概要を作る. 簡潔な. 摘要. 訴訟事件. 短時間の. 簡単な声明. briefing(簡単な報告発表. 事実関係の説明)
Brigg,ブリッグ,"ブリッグ, 英国北部の町, 芝刈り機メーカー, 傘メーカー 他"
brill,ブリル,ヨーロッパ産のヒラメ
brine,塩水,the brine(文語)海水. 海. 塩水. 鹹(かん)水. 不凍液. ブライン. (普通に塩水という場合はsaltwater). 塩水につける.
bring,持って来る,持ってくる
brink,瀬戸際,瀬戸際. 縁. 頂. 最高点. 水ぎわ. 水辺. 間ぎわ
briny,塩辛い,海. 大洋. 塩辛い. 塩水の. 海の. 涙の
brisk,活発な,活発な. 元気のよい. 小気味のよい. 爽快な
broad,広い,(軽蔑的に)女. 幅の広い. 広義の. 明白な. 下品な. 一般的な. 明るい. 広大な. 幅がある. 楽しみ. (俗)若い女
brock,アナグマ,アナグマ. 鼻持ちならないやつ
broil,焼く,焼ける. 焼く
broke,壊れた,breakの過去形. 壊れた. 一文なしの
Bronx,ブロンクス,ブロンクス(New York市の5つの区の一つ)
brood,同腹,ひとかえりのひな鳥. (動物の)ひと腹の子. 2. 思案する. くよくよ考える　3. (雲. 暗闇などが)たれこめる. おおう
brook,小川,小川. (cf. stream. brook. creek. bourne)
broom,ほうき,ほうき. 掃く. エニシダ(植物)
broth,ブロス,薄いスープ
Brown,ブラウン,茶色の. 2. ブラウン(人名)
Bruce,ブルース,ブルース(人名)
bruin,クマ,(童話などで)クマ. (呼びかけで)クマ公
brunt,矛先,攻撃のほこ先. 鋒先
brush,ブラシ,ブラシをかける. かする. すれ合い. ブラシ. 画法. 小競合い. 画筆. 低木のしげみ
brute,ブルート,けだもの. 獣. 畜生. 獣ような. 動物の. 獣的な. 野蛮な
bucko,威張り散らす,若者 (my ～). 若いの. 君.  (俗)いばりちらす(やつ). 筏師
buddy,バディ,親友. 仲間. 相棒
budge,動かす,ちょっと動かす. 動く. (人)に意見を変えさせる
Bueno,ブエノスアイレス,"Buenos Aires. ブエノスアイレス. アルゼンチンの首都. ラ･プラタ川Río de la Plata(銀の川)に面し,都市圏人口1,300万人. スペイン語でbuenos良いaires空気の意"
Buffy,強そうな女性,「強い女の子」の俗語. 米国のテレビ番組. Elizabethの愛称. 淡黄色の
buggy,バギー,虫だらけの. 1頭立ての. 2輪馬車. 自動車. バギー. うば車. (俗)気が狂った.
bugle,ラッパ,らっぱを吹く. ラッパ(無弁の. 有弁のラッパはtrumpet)
Buick,ビュイック,ビュイック. 車名
build,ビルド,建てる. つくる
bulge,バルジ,ふくらませる. 膨らむ. ふくらみ. ふくらむ. 出っ張る
bulky,バルキー,かさばった
bully,いじめっ子,いじめる. いじめっ子
bumpy,バンピー,(道路)でこぼこの. (車･旅行)がたつく
bunch,バンチ,仲間. 一団. 群. (果物などの)房
bunny,バニー,(俗)プレイガール. うさぎちゃん
burke,握りつぶす,締め殺す. (議案などを)握りつぶす. (うわさなどを)もみ消す
burly,たくましい,たくましい. がんじょうな. がっしりとした. 身体の大きい
Burma,ビルマ,ビルマ(現ミャンマー連邦)
burnt,焼け,燃やした. 焼けた
burro,小型のロバ,小型のロバ
bursa,滑液嚢,滑液嚢
burst,バースト,突発する. 破裂する. 破壊する. 充満する. 感情の爆発. 裂く. 爆発する. 急に起こる. 押さえ切れない. 破裂した
Busch,ブッシュ,Anheuser-Busch Companies. Inc. アンハイザー･ブッシュ. 米国の大手ビール会社. (ブッシュ米元大統領はBush)
bushy,ふさふさした,しげみのような. 毛がふさふさした
busty,胸が大きい,いい胸をした. 胸が大きい. ボインの
butch,ブッチ,男役のレズ. 筋骨たくましい. 頑丈そうな体格の. 駄目にする. 台無しにする
butte,ビュート,ビュート(米国西部の平原に孤立する周囲の切り立った丘)
buxom,肉付きがいい,肉付きがいい
buyer,バイヤー,買い手
bylaw,条例,条例. 副定款. 内規
byway,バイウェイ,わき道
cabal,徒党,(政治的な)秘密結社. 陰謀. 徒党. 同人グループ
cabby,タクシー運転手,(俗)タクシーの運転手
cabin,キャビン,キャビン. 小屋. 船室
cable,ケーブル,有線テレビ. ケーブル
cacao,カカオ,カカオ
cache,貯蔵所,貯蔵所. 貯蔵物. 隠し場. 隠してある貴重品. (cf. cash. 現金)
caddy,キャディー,茶筒. 小形容器. caddie
cadet,士官候補生,士官学校生
cadre,幹部,構造. 組織. 骨組み. 幹部. 中核
caged,かごに入れられた,ケージ(かご)に入れられた
cagey,用心深い,抜け目のない
cairn,ケルン,ケルン(記念塚)
Cairo,カイロ,"カイロ. エジプトの首都. アフリカ,アラブ世界で最も人口の多い都市. アラブ連盟の本部所在地でアラブ文化圏の中心都市"
Cajun,ケイジャン,ケイジャン. アケイディアン(Acadian)の訛り. Louisiana州に住むAcadia人の子孫
Calif,カリフォルニア州,カリフォルニア州の略
calla,カラ,(サトイモ科)カラ. ミズイモ
Calle,カーレ(ベニス),狭い通路(特にベニスの).  2. 自転車メーカー名
calyx,花の萼(ガク),花の萼(ガク)
